==============================================================================================================
  UNCLASSIFIABLE INSIDER BACKTEST -- Filter Rankings by Confidence-Weighted Score
  Score = avg_alpha_180d * ln(n)  |  min n = 5  |  820 combinations ranked
  Source: output/unclassifiable_backtest.csv  |  Run: 2026-05-04
==============================================================================================================

  Baseline (all trades, no filter): n=2320  avg=+2.1%  hit=52%  score=16.18

 Rank  Role                Sector                      Size     DD          n   Hit180    Avg180a      Score
  345  10% Owner           Financial Services          $100K+   DD<5%      27      59%      +6.9%      22.58
  346  Director            Real Estate                 $250K+   DD<5%      40      73%      +6.1%      22.50
  347  Insider (other)     Financial Services          $5M+     any        16      63%      +8.1%      22.45
  348  all                 Communication Services      $1M+     any        72      74%      +5.2%      22.43
  349  all                 Real Estate                 $100K+   DD<5%      72      69%      +5.2%      22.43
  350  all                 Technology                  $1M+     any        57      49%      +5.5%      22.41
  351  Director            Industrials                 $1M+     DD<5%      19      58%      +7.6%      22.28
  352  Insider (other)     Communication Services      $100K+   any        61      74%      +5.4%      22.21
  353  Insider (other)     all                         $500K+   DD<2%      32      78%      +6.4%      22.18
  354  Director            Consumer Cyclical           $500K+   DD<2%      16      69%      +8.0%      22.16
  355  Director            Healthcare                  $1M+     DD<5%      12      75%      +8.8%      21.98
  356  CEO                 all                         $100K+   any       272      47%      +3.9%      21.94
  357  Insider (other)     all                         $25M+    any        14      71%      +8.3%      21.84
  358  all                 Industrials                 $100K+   any       362      54%      +3.7%      21.70
  359  Insider (other)     all                         $100K+   DD<5%     100      72%      +4.7%      21.63
  360  CEO                 all                         $5M+     any        18      61%      +7.5%      21.62
  361  CFO                 Industrials                 $500K+   any         5      80%     +13.3%      21.46
  362  all                 Consumer Defensive          $5M+     DD<5%      20      90%      +7.2%      21.44
  363  Insider (other)     all                         $25M+    DD<5%      13      69%      +8.3%      21.41
  364  10% Owner           Financial Services          $500K+   DD<5%      22      55%      +6.9%      21.27
  365  Director            Industrials                 $500K+   any        78      54%      +4.9%      21.24
  366  all                 Healthcare                  $250K+   any       128      60%      +4.4%      21.21
  367  all                 Consumer Defensive          $500K+   DD<2%      44      77%      +5.6%      21.14
  368  CEO                 Consumer Cyclical           $250K+   DD<2%      14      64%      +8.0%      21.03
  369  CEO                 Consumer Cyclical           $500K+   DD<2%      14      64%      +8.0%      21.03
  370  Insider (other)     all                         $250K+   DD<2%      43      79%      +5.6%      20.94
  371  all                 Other                       $250K+   any         8     100%     +10.0%      20.77
  372  all                 Other                       $500K+   any         8     100%     +10.0%      20.77
  373  all                 Industrials                 $250K+   any       229      55%      +3.8%      20.76
  374  CEO                 Consumer Cyclical           $100K+   any        25      64%      +6.4%      20.68
  375  all                 Other                       $250K+   DD<5%       7     100%     +10.6%      20.64
  376  all                 Other                       $500K+   DD<5%       7     100%     +10.6%      20.64
  377  Director            Real Estate                 $100K+   DD<5%      64      69%      +5.0%      20.64
  378  10% Owner           all                         $5M+     DD<5%      44      66%      +5.4%      20.57
  379  President           Healthcare                  $100K+   any         5     100%     +12.8%      20.53
  380  Director            Healthcare                  $500K+   DD<2%      20      80%      +6.8%      20.46
  381  all                 Consumer Defensive          $5M+     any        27      74%      +6.2%      20.45
  382  Insider (other)     Communication Services      $1M+     any        40      83%      +5.5%      20.32
  383  all                 Consumer Defensive          $1M+     DD<2%      34      82%      +5.7%      20.27
  384  all                 Communication Services      $5M+     DD<2%      15     100%      +7.5%      20.27
  385  all                 Financial Services          $250K+   any       235      48%      +3.7%      20.11
  386  Insider (other)     Communication Services      $500K+   any        47      77%      +5.2%      20.06
  387  Director            Financial Services          $250K+   any       120      53%      +4.2%      19.97
  388  Director            Healthcare                  $100K+   any       117      56%      +4.2%      19.78
  389  Insider (other)     Communication Services      $5M+     DD<2%       9     100%      +9.0%      19.76
  390  Director            Consumer Defensive          $25M+    any         6      83%     +11.0%      19.72
  391  Director            all                         $100K+   any      1270      54%      +2.8%      19.70
  392  CFO                 Industrials                 $250K+   DD<5%       5      80%     +12.2%      19.66
  393  Insider (other)     Financial Services          $25M+    any         7      57%     +10.1%      19.66
  394  Other/EVP           Industrials                 $100K+   DD<5%       8      75%      +9.4%      19.52
  395  10% Owner           Financial Services          $250K+   DD<5%      24      54%      +6.1%      19.51
  396  Other/EVP           Industrials                 $250K+   DD<5%       5      60%     +12.1%      19.50
  397  all                 Communication Services      $5M+     DD<5%      25      88%      +6.0%      19.45
  398  Director            Industrials                 $100K+   any       236      53%      +3.5%      19.26
  399  Director            Financial Services          $500K+   DD<2%      29      76%      +5.7%      19.26
  400  Director            Consumer Defensive          $100K+   DD<2%      47      74%      +5.0%      19.17
  401  Insider (other)     Financial Services          $250K+   DD<5%      15      60%      +7.1%      19.10
  402  Insider (other)     Financial Services          $500K+   DD<5%      15      60%      +7.1%      19.10
  403  Insider (other)     Financial Services          $1M+     DD<5%      15      60%      +7.1%      19.10
  404  all                 all                         $1M+     any       682      55%      +2.9%      19.08
  405  Insider (other)     Financial Services          $25M+    DD<5%       6      50%     +10.6%      18.92
  406  Director            Consumer Cyclical           $1M+     DD<2%      11      64%      +7.9%      18.91
  407  all                 Healthcare                  $1M+     DD<5%      32      59%      +5.5%      18.91
  408  CFO                 Utilities                   $250K+   DD<2%       8      75%      +9.1%      18.87
  409  all                 Consumer Defensive          $1M+     any        57      72%      +4.7%      18.86
  410  all                 Industrials                 $500K+   any       156      52%      +3.7%      18.74
  411  CEO                 Consumer Cyclical           $500K+   any        22      64%      +6.1%      18.73
  412  all                 Consumer Defensive          $1M+     DD<5%      45      78%      +4.9%      18.49
  413  President           Industrials                 $100K+   DD<5%      11      73%      +7.7%      18.41
  414  all                 Communication Services      $100K+   any       129      60%      +3.8%      18.36
  415  Insider (other)     Communication Services      $5M+     any        17      76%      +6.5%      18.34
  416  Director            Consumer Cyclical           $250K+   DD<2%      32      69%      +5.2%      18.14
  417  CEO                 Healthcare                  $100K+   any        22      45%      +5.8%      17.85
  418  Director            Energy                      $1M+     DD<2%       8      50%      +8.5%      17.69
  419  Director            Real Estate                 $250K+   any        50      68%      +4.5%      17.51
  420  all                 Healthcare                  $100K+   any       201      54%      +3.3%      17.47
  421  Director            all                         $500K+   any       465      60%      +2.8%      17.41
  422  Director            Consumer Cyclical           $1M+     DD<5%      13      62%      +6.8%      17.35
  423  CEO                 Consumer Cyclical           $100K+   DD<2%      15      60%      +6.4%      17.31
  424  all                 Real Estate                 $500K+   any        46      67%      +4.5%      17.28
  425  all                 Other                       $1M+     any         7     100%      +8.8%      17.20
  426  all                 Financial Services          $500K+   any       153      49%      +3.4%      17.19
  427  all                 Financial Services          $5M+     DD<2%      21      67%      +5.6%      17.07
  428  Director            Consumer Defensive          $100K+   DD<5%      69      72%      +4.0%      17.03
  429  all                 Communication Services      $25M+    DD<5%       5     100%     +10.6%      17.01
  430  Insider (other)     Communication Services      $25M+    any         5     100%     +10.6%      17.01
  431  Insider (other)     Communication Services      $25M+    DD<5%       5     100%     +10.6%      17.01
  432  all                 Financial Services          $1M+     any       109      48%      +3.6%      16.84
  433  President           Industrials                 $100K+   any        14      71%      +6.4%      16.83
  434  President           Industrials                 $250K+   any         8      75%      +8.1%      16.79
  435  all                 Other                       $1M+     DD<5%       6     100%      +9.4%      16.79
  436  Director            Financial Services          $500K+   DD<5%      40      65%      +4.5%      16.78
  437  President           Industrials                 $100K+   DD<2%       5      80%     +10.4%      16.69
  438  Director            Energy                      $100K+   DD<2%      34      50%      +4.7%      16.64
  439  all                 Other                       $5M+     any         6     100%      +9.2%      16.41
  440  Director            Other                       $250K+   any         6     100%      +9.2%      16.41
  441  Director            Other                       $500K+   any         6     100%      +9.2%      16.41
  442  Director            Other                       $1M+     any         6     100%      +9.2%      16.41
  443  Director            Other                       $5M+     any         6     100%      +9.2%      16.41
  444  10% Owner           Financial Services          $1M+     DD<5%      21      52%      +5.4%      16.36
  445  CEO                 Utilities                   $100K+   any        17      59%      +5.7%      16.26
  446  all                 Consumer Defensive          $500K+   DD<5%      61      72%      +3.9%      16.18
  447  all                 all                         $100K+   any      2320      52%      +2.1%      16.18
  448  Insider (other)     Healthcare                  $250K+   DD<5%       5     100%      +9.9%      15.99
  449  Insider (other)     Healthcare                  $500K+   DD<5%       5     100%      +9.9%      15.99
  450  all                 Other                       $5M+     DD<5%       5     100%      +9.9%      15.87
  451  Director            Other                       $250K+   DD<5%       5     100%      +9.9%      15.87
  452  Director            Other                       $500K+   DD<5%       5     100%      +9.9%      15.87
  453  Director            Other                       $1M+     DD<5%       5     100%      +9.9%      15.87
  454  Director            Other                       $5M+     DD<5%       5     100%      +9.9%      15.87
  455  CFO                 Utilities                   $500K+   any         5      80%      +9.7%      15.57
  456  Director            Technology                  $500K+   DD<2%      17      71%      +5.4%      15.36
  457  all                 Other                       $250K+   DD<2%       5     100%      +9.5%      15.36
  458  all                 Other                       $500K+   DD<2%       5     100%      +9.5%      15.36
  459  Director            Technology                  $500K+   any        67      52%      +3.6%      15.12
  460  Director            Consumer Defensive          $5M+     DD<2%      10     100%      +6.6%      15.10
  461  Director            Financial Services          $100K+   any       181      52%      +2.9%      15.03
  462  Other/EVP           Healthcare                  $1M+     any         5      60%      +9.3%      14.97
  463  Other/EVP           Healthcare                  $1M+     DD<5%       5      60%      +9.3%      14.97
  464  Insider (other)     Financial Services          $1M+     any        21      57%      +4.9%      14.91
  465  Insider (other)     all                         $25M+    DD<2%       8      63%      +7.1%      14.81
  466  Director            Consumer Defensive          $100K+   any        87      69%      +3.3%      14.79
  467  10% Owner           Financial Services          $5M+     DD<5%       9      67%      +6.7%      14.76
  468  Director            Energy                      $500K+   DD<2%      10      50%      +6.4%      14.74
  469  all                 Consumer Defensive          $5M+     DD<2%      15      93%      +5.4%      14.74
  470  Director            Consumer Cyclical           $100K+   DD<2%      52      60%      +3.7%      14.67
  471  CFO                 all                         $250K+   any        63      56%      +3.5%      14.62
  472  CFO                 Industrials                 $100K+   any        13      69%      +5.7%      14.55
  473  Insider (other)     Technology                  $100K+   any        22      68%      +4.7%      14.39
  474  CFO                 all                         $1M+     any        12      75%      +5.7%      14.25
  475  Insider (other)     Financial Services          $25M+    DD<2%       5      40%      +8.8%      14.22
  476  all                 Other                       $100K+   any        11      73%      +5.9%      14.17
  477  Director            Technology                  $1M+     DD<5%      22      55%      +4.5%      14.02
  478  all                 Other                       $100K+   DD<5%      10      70%      +5.9%      13.67
  479  Insider (other)     all                         $5M+     any        41      66%      +3.7%      13.63
  480  Insider (other)     Financial Services          $100K+   DD<5%      19      58%      +4.6%      13.63
  481  Director            Technology                  $1M+     DD<2%       9      67%      +6.2%      13.62
  482  all                 Consumer Defensive          $500K+   any        82      63%      +3.1%      13.60
  483  Insider (other)     Financial Services          $5M+     DD<2%       8      50%      +6.4%      13.28
  484  all                 Financial Services          $100K+   any       358      46%      +2.2%      13.15
  485  CFO                 Utilities                   $250K+   DD<5%      11      64%      +5.5%      13.13
  486  CFO                 all                         $1M+     DD<5%       8      75%      +6.3%      13.08
  487  CEO                 Communication Services      $100K+   any        13      54%      +5.1%      12.96
  488  CEO                 Communication Services      $250K+   any        13      54%      +5.1%      12.96
  489  CEO                 Communication Services      $500K+   any        13      54%      +5.1%      12.96
  490  Insider (other)     all                         $1M+     any        87      69%      +2.9%      12.88
  491  all                 Consumer Defensive          $250K+   DD<2%      61      66%      +3.1%      12.70
  492  all                 Consumer Defensive          $250K+   DD<5%      90      64%      +2.7%      12.36
  493  Other/EVP           all                         $500K+   DD<2%      50      56%      +3.1%      12.27
  494  CFO                 Utilities                   $100K+   DD<2%      11      55%      +5.1%      12.12
  495  Director            Healthcare                  $500K+   any        36      67%      +3.4%      12.05
  496  Director            Energy                      $250K+   DD<2%      20      55%      +3.9%      11.82
  497  all                 Real Estate                 $250K+   any        67      61%      +2.8%      11.82
  498  all                 Consumer Defensive          $25M+    any         9      56%      +5.4%      11.78
  499  Insider (other)     Financial Services          $500K+   any        25      52%      +3.7%      11.77
  500  all                 Healthcare                  $1M+     DD<2%      16      69%      +4.2%      11.68
  501  all                 Financial Services          $25M+    DD<5%      13      62%      +4.5%      11.60
  502  CFO                 Consumer Cyclical           $100K+   any         8      63%      +5.6%      11.55
  503  10% Owner           Financial Services          $100K+   DD<2%      13      62%      +4.5%      11.54
  504  Director            Real Estate                 $100K+   any        87      61%      +2.6%      11.50
  505  President           Industrials                 $250K+   DD<5%       6      67%      +6.3%      11.36
  506  Director            Financial Services          $1M+     DD<2%      19      68%      +3.8%      11.26
  507  10% Owner           Industrials                 $100K+   any        38      50%      +3.1%      11.25
  508  President           Industrials                 $500K+   any         5      60%      +7.0%      11.25
  509  CFO                 Utilities                   $250K+   any        12      58%      +4.5%      11.19
  510  all                 Consumer Defensive          $25M+    DD<2%       5      80%      +6.9%      11.18
  511  all                 Healthcare                  $500K+   any        88      57%      +2.5%      11.01
  512  Director            Financial Services          $5M+     DD<2%       7      86%      +5.7%      11.01
  513  Director            all                         $1M+     any       266      60%      +2.0%      10.93
  514  CFO                 all                         $100K+   DD<2%      44      55%      +2.9%      10.89
  515  Director            all                         $5M+     any        94      56%      +2.4%      10.70
  516  all                 Consumer Defensive          $250K+   any       126      60%      +2.2%      10.65
  517  Director            Financial Services          $1M+     DD<5%      24      58%      +3.3%      10.41
  518  Insider (other)     all                         $500K+   any       116      65%      +2.1%       9.93
  519  President           all                         $250K+   DD<5%      26      54%      +3.0%       9.92
  520  Director            Other                       $100K+   any         9      67%      +4.5%       9.78
  521  all                 Consumer Defensive          $25M+    DD<5%       6      67%      +5.4%       9.67
  522  CFO                 all                         $1M+     DD<2%       7      71%      +4.9%       9.61
  523  Director            Financial Services          $5M+     DD<5%       8      75%      +4.6%       9.51
  524  10% Owner           Communication Services      $100K+   DD<2%       6     100%      +5.2%       9.35
  525  10% Owner           Communication Services      $250K+   DD<2%       6     100%      +5.2%       9.35
  526  10% Owner           Communication Services      $500K+   DD<2%       6     100%      +5.2%       9.35
  527  10% Owner           Communication Services      $1M+     DD<2%       6     100%      +5.2%       9.35
  528  10% Owner           Communication Services      $5M+     DD<2%       6     100%      +5.2%       9.35
  529  10% Owner           Communication Services      $100K+   DD<5%      12      83%      +3.7%       9.13
  530  10% Owner           Communication Services      $250K+   DD<5%      12      83%      +3.7%       9.13
  531  10% Owner           Communication Services      $500K+   DD<5%      12      83%      +3.7%       9.13
  532  10% Owner           Communication Services      $1M+     DD<5%      12      83%      +3.7%       9.13
  533  10% Owner           Communication Services      $5M+     DD<5%      12      83%      +3.7%       9.13
  534  Director            Communication Services      $100K+   any        26      38%      +2.8%       9.06
  535  Director            Other                       $100K+   DD<5%       8      63%      +4.3%       8.94
  536  all                 Other                       $100K+   DD<2%       8      63%      +4.1%       8.53
  537  Insider (other)     all                         $250K+   any       138      64%      +1.7%       8.47
  538  10% Owner           Financial Services          $5M+     DD<2%       5      60%      +5.3%       8.47
  539  Director            all                         $25M+    any        36      50%      +2.3%       8.36
  540  Other/EVP           all                         $250K+   DD<2%      66      55%      +1.9%       8.16
  541  CFO                 Utilities                   $100K+   DD<5%      14      50%      +3.1%       8.15
  542  CEO                 Utilities                   $100K+   DD<5%      14      50%      +3.0%       7.99
  543  all                 Financial Services          $25M+    DD<2%      11      55%      +3.3%       7.84
  544  Other/EVP           all                         $500K+   DD<5%      75      49%      +1.8%       7.77
  545  Director            Industrials                 $1M+     any        39      51%      +2.0%       7.47
  546  Other/EVP           all                         $100K+   DD<2%     105      50%      +1.6%       7.43
  547  10% Owner           Communication Services      $100K+   any        14      71%      +2.8%       7.43
  548  10% Owner           Communication Services      $250K+   any        14      71%      +2.8%       7.43
  549  10% Owner           Communication Services      $500K+   any        14      71%      +2.8%       7.43
  550  10% Owner           Communication Services      $1M+     any        14      71%      +2.8%       7.43
  551  10% Owner           Communication Services      $5M+     any        14      71%      +2.8%       7.43
  552  Director            Energy                      $1M+     DD<5%      10      40%      +3.2%       7.38
  553  President           all                         $500K+   DD<2%      10      60%      +3.0%       6.99
  554  all                 Industrials                 $1M+     any        97      48%      +1.5%       6.95
  555  all                 Consumer Defensive          $100K+   DD<2%      99      57%      +1.5%       6.94
  556  all                 Real Estate                 $100K+   any       111      57%      +1.5%       6.92
  557  CEO                 Industrials                 $250K+   any        25      52%      +2.0%       6.55
  558  10% Owner           Industrials                 $250K+   any        35      46%      +1.8%       6.48
  559  10% Owner           Financial Services          $500K+   DD<2%       9      56%      +2.9%       6.45
  560  10% Owner           Financial Services          $1M+     DD<2%       9      56%      +2.9%       6.45
  561  Director            Healthcare                  $1M+     DD<2%       8      75%      +3.0%       6.30
  562  CEO                 Industrials                 $1M+     any        21      52%      +2.1%       6.25
  563  President           all                         $100K+   DD<5%      52      52%      +1.5%       5.99
  564  CEO                 Basic Materials             $100K+   any        28      50%      +1.8%       5.96
  565  CEO                 Basic Materials             $250K+   any        28      50%      +1.8%       5.96
  566  all                 Financial Services          $5M+     any        51      49%      +1.5%       5.75
  567  Director            Communication Services      $1M+     any         7      43%      +2.8%       5.45
  568  CFO                 Industrials                 $250K+   any         9      56%      +2.4%       5.38
  569  CEO                 Industrials                 $500K+   any        24      50%      +1.7%       5.36
  570  Director            Technology                  $1M+     any        36      44%      +1.5%       5.33
  571  Insider (other)     Financial Services          $250K+   DD<2%      11      45%      +2.2%       5.26
  572  Insider (other)     Financial Services          $500K+   DD<2%      11      45%      +2.2%       5.26
  573  Insider (other)     Financial Services          $1M+     DD<2%      11      45%      +2.2%       5.26
  574  10% Owner           Industrials                 $500K+   any        30      43%      +1.5%       5.20
  575  10% Owner           Consumer Defensive          $100K+   DD<2%       5      80%      +3.2%       5.16
  576  10% Owner           Consumer Defensive          $250K+   DD<2%       5      80%      +3.2%       5.16
  577  10% Owner           Consumer Defensive          $500K+   DD<2%       5      80%      +3.2%       5.16
  578  10% Owner           Consumer Defensive          $1M+     DD<2%       5      80%      +3.2%       5.16
  579  10% Owner           Consumer Defensive          $5M+     DD<2%       5      80%      +3.2%       5.16
  580  Insider (other)     Technology                  $250K+   DD<2%       5      80%      +3.2%       5.12
  581  President           all                         $500K+   DD<5%      12      50%      +2.0%       5.07
  582  all                 Technology                  $5M+     any        26      38%      +1.5%       4.82
  583  Insider (other)     Financial Services          $250K+   any        27      48%      +1.5%       4.80
  584  10% Owner           Financial Services          $250K+   DD<2%      10      50%      +2.1%       4.79
  585  CEO                 Consumer Cyclical           $5M+     any         9      67%      +2.1%       4.62
  586  CFO                 all                         $100K+   DD<5%      65      52%      +1.0%       4.09
  587  10% Owner           Consumer Defensive          $100K+   DD<5%       6      67%      +2.3%       4.09
  588  10% Owner           Consumer Defensive          $250K+   DD<5%       6      67%      +2.3%       4.09
  589  10% Owner           Consumer Defensive          $500K+   DD<5%       6      67%      +2.3%       4.09
  590  10% Owner           Consumer Defensive          $1M+     DD<5%       6      67%      +2.3%       4.09
  591  10% Owner           Consumer Defensive          $5M+     DD<5%       6      67%      +2.3%       4.09
  592  CEO                 Utilities                   $250K+   any        12      50%      +1.6%       4.04
  593  all                 Technology                  $5M+     DD<5%      15      27%      +1.4%       3.90
  594  Director            Financial Services          $1M+     any        33      55%      +1.1%       3.89
  595  all                 Healthcare                  $5M+     DD<2%       5      60%      +2.4%       3.80
  596  Director            Financial Services          $5M+     any        12      58%      +1.5%       3.77
  597  President           all                         $250K+   DD<2%      19      53%      +1.1%       3.22
  598  all                 Communication Services      $5M+     any        36      67%      +0.8%       2.75
  599  Insider (other)     Technology                  $250K+   DD<5%       7      71%      +1.2%       2.41
  600  Director            Other                       $100K+   DD<2%       6      50%      +1.3%       2.34
  601  CFO                 Utilities                   $100K+   any        18      39%      +0.7%       2.16
  602  Director            Basic Materials             $500K+   DD<5%       6      67%      +1.1%       1.96
  603  President           all                         $100K+   DD<2%      37      51%      +0.5%       1.88
  604  President           Real Estate                 $100K+   any         5      40%      +1.1%       1.82
  605  President           Consumer Defensive          $100K+   DD<5%       8      38%      +0.4%       0.86
  606  all                 Technology                  $25M+    any        11      27%      +0.3%       0.74
  607  Director            Healthcare                  $1M+     any        18      56%      +0.3%       0.74
  608  10% Owner           Healthcare                  $100K+   DD<2%       5      40%      +0.4%       0.72
  609  10% Owner           Healthcare                  $250K+   DD<2%       5      40%      +0.4%       0.72
  610  10% Owner           Healthcare                  $500K+   DD<2%       5      40%      +0.4%       0.72
  611  Director            Basic Materials             $100K+   DD<5%      20      45%      +0.2%       0.67
  612  Insider (other)     all                         $100K+   any       178      57%      +0.1%       0.67
  613  all                 Consumer Defensive          $100K+   DD<5%     154      53%      +0.1%       0.55
  614  Insider (other)     Financial Services          $100K+   DD<2%      14      43%      +0.2%       0.52
  615  10% Owner           Industrials                 $1M+     any        26      38%      +0.1%       0.42
  616  CEO                 Utilities                   $250K+   DD<5%      11      45%      +0.1%       0.35
  617  CFO                 Technology                  $100K+   DD<5%       6      67%      +0.2%       0.34
  618  10% Owner           Financial Services          $100K+   any        52      42%      +0.0%       0.18
  619  CFO                 Financial Services          $250K+   any         6      33%      +0.1%       0.14
  620  Director            Energy                      $500K+   DD<5%      18      44%      +0.0%       0.01
  621  all                 Healthcare                  $5M+     any        10      50%      -0.0%      -0.03
  622  all                 Healthcare                  $5M+     DD<5%      10      50%      -0.0%      -0.03
  623  Insider (other)     Healthcare                  $100K+   DD<5%       8      63%      -0.0%      -0.05
  624  CEO                 Utilities                   $250K+   DD<2%       5      40%      -0.1%      -0.11
  625  CEO                 Utilities                   $500K+   DD<2%       5      40%      -0.1%      -0.11
  626  President           Consumer Defensive          $100K+   any        12      42%      -0.2%      -0.42
  627  Other/EVP           all                         $250K+   DD<5%     102      49%      -0.1%      -0.45
  628  Insider (other)     Financial Services          $100K+   any        34      44%      -0.1%      -0.48
  629  all                 Financial Services          $25M+    any        19      47%      -0.2%      -0.72
  630  CEO                 Utilities                   $500K+   any         9      44%      -0.4%      -0.87
  631  10% Owner           Financial Services          $500K+   any        40      35%      -0.3%      -0.98
  632  10% Owner           Consumer Defensive          $100K+   any         9      44%      -0.4%      -0.99
  633  10% Owner           Consumer Defensive          $250K+   any         9      44%      -0.4%      -0.99
  634  10% Owner           Consumer Defensive          $500K+   any         9      44%      -0.4%      -0.99
  635  10% Owner           Consumer Defensive          $1M+     any         9      44%      -0.4%      -0.99
  636  10% Owner           Consumer Defensive          $5M+     any         9      44%      -0.4%      -0.99
  637  CEO                 Basic Materials             $500K+   any        23      43%      -0.4%      -1.37
  638  President           all                         $100K+   any        83      51%      -0.3%      -1.44
  639  Director            Basic Materials             $100K+   DD<2%      12      42%      -0.6%      -1.45
  640  all                 Energy                      $500K+   DD<2%      45      51%      -0.5%      -1.83
  641  Director            Financial Services          $500K+   any        63      52%      -0.5%      -2.18
  642  all                 Energy                      $1M+     DD<2%      37      54%      -0.6%      -2.20
  643  CEO                 Energy                      $100K+   DD<2%      12      33%      -0.9%      -2.25
  644  Insider (other)     Industrials                 $500K+   DD<5%       7      57%      -1.3%      -2.45
  645  10% Owner           Financial Services          $250K+   any        43      35%      -0.7%      -2.46
  646  CEO                 Utilities                   $100K+   DD<2%       6      33%      -1.4%      -2.51
  647  CEO                 Energy                      $500K+   DD<5%       8      38%      -1.3%      -2.61
  648  Other/EVP           Consumer Defensive          $250K+   any        37      35%      -0.7%      -2.62
  649  all                 Consumer Defensive          $100K+   any       203      50%      -0.5%      -2.79
  650  Other/EVP           Consumer Defensive          $250K+   DD<5%      24      33%      -0.9%      -2.94
  651  Director            Consumer Cyclical           $250K+   any        77      60%      -0.7%      -3.05
  652  Other/EVP           all                         $100K+   DD<5%     159      46%      -0.6%      -3.12
  653  all                 Technology                  $25M+    DD<5%       9      22%      -1.6%      -3.46
  654  Director            Technology                  $25M+    DD<5%       9      22%      -1.6%      -3.46
  655  Other/EVP           Financial Services          $250K+   any         5      60%      -2.2%      -3.50
  656  President           Consumer Defensive          $250K+   any         6      33%      -2.1%      -3.83
  657  Director            Technology                  $5M+     any        18      28%      -1.3%      -3.87
  658  CEO                 Basic Materials             $1M+     any        16      38%      -1.4%      -3.99
  659  CEO                 Healthcare                  $1M+     any         6      33%      -2.2%      -4.00
  660  Other/EVP           Consumer Defensive          $500K+   any        19      32%      -1.5%      -4.27
  661  all                 Energy                      $100K+   DD<2%      91      47%      -1.0%      -4.33
  662  10% Owner           Financial Services          $1M+     any        39      33%      -1.3%      -4.61
  663  all                 Energy                      $250K+   DD<2%      61      51%      -1.2%      -4.96
  664  CEO                 Basic Materials             $100K+   DD<2%      14      43%      -1.9%      -5.12
  665  CEO                 Basic Materials             $250K+   DD<2%      14      43%      -1.9%      -5.12
  666  Other/EVP           Consumer Defensive          $250K+   DD<2%      15      27%      -1.9%      -5.23
  667  all                 Consumer Cyclical           $5M+     DD<5%      11      64%      -2.2%      -5.30
  668  President           all                         $250K+   any        47      49%      -1.4%      -5.51
  669  CEO                 Utilities                   $500K+   DD<5%       8      38%      -2.7%      -5.58
  670  all                 Basic Materials             $1M+     DD<2%      13      38%      -2.2%      -5.69
  671  CEO                 Energy                      $250K+   DD<2%       9      33%      -2.6%      -5.72
  672  Other/EVP           Consumer Defensive          $500K+   DD<5%      11      27%      -2.4%      -5.76
  673  Other/EVP           Energy                      $500K+   DD<2%      27      59%      -1.8%      -5.84
  674  Other/EVP           Consumer Defensive          $100K+   DD<2%      34      32%      -1.7%      -5.88
  675  Director            Technology                  $25M+    any        10      20%      -2.6%      -5.94
  676  Other/EVP           Energy                      $1M+     DD<2%      26      58%      -1.9%      -6.16
  677  Director            Basic Materials             $100K+   any        32      41%      -1.8%      -6.27
  678  Other/EVP           Financial Services          $100K+   DD<5%       6      33%      -3.5%      -6.32
  679  Insider (other)     Technology                  $250K+   any        12      67%      -2.6%      -6.41
  680  CEO                 Energy                      $500K+   any         9      33%      -3.0%      -6.59
  681  all                 Energy                      $5M+     DD<2%      17      47%      -2.3%      -6.63
  682  Other/EVP           Consumer Defensive          $500K+   DD<2%       8      25%      -3.2%      -6.74
  683  all                 Basic Materials             $250K+   DD<2%      28      46%      -2.1%      -6.92
  684  CFO                 all                         $100K+   any       106      48%      -1.5%      -7.20
  685  President           Financial Services          $100K+   any         7      43%      -3.8%      -7.37
  686  Insider (other)     Industrials                 $250K+   DD<5%       9      56%      -3.4%      -7.53
  687  CEO                 Basic Materials             $1M+     DD<2%      10      30%      -3.3%      -7.66
  688  Other/EVP           all                         $1M+     DD<2%      37      51%      -2.2%      -7.86
  689  Other/EVP           Energy                      $5M+     DD<2%      14      50%      -3.2%      -8.51
  690  President           Financial Services          $100K+   DD<5%       6      33%      -4.8%      -8.68
  691  Director            Technology                  $5M+     DD<5%      11      18%      -3.6%      -8.68
  692  all                 Basic Materials             $1M+     DD<5%      17      41%      -3.1%      -8.82
  693  Other/EVP           Energy                      $100K+   DD<2%      35      57%      -2.5%      -8.87
  694  Other/EVP           Consumer Defensive          $100K+   DD<5%      55      33%      -2.2%      -8.90
  695  CEO                 Energy                      $500K+   DD<2%       7      29%      -4.6%      -8.98
  696  Other/EVP           Consumer Defensive          $1M+     any         7      29%      -4.9%      -9.50
  697  Insider (other)     Healthcare                  $250K+   any        16      63%      -3.4%      -9.55
  698  Insider (other)     Healthcare                  $500K+   any        16      63%      -3.4%      -9.55
  699  all                 Basic Materials             $100K+   DD<2%      34      44%      -2.7%      -9.67
  700  all                 Healthcare                  $1M+     any        50      48%      -2.5%      -9.68
  701  Director            Consumer Cyclical           $500K+   any        45      60%      -2.6%      -9.83
  702  10% Owner           Financial Services          $5M+     any        21      33%      -3.2%      -9.89
  703  all                 Consumer Cyclical           $5M+     DD<2%       6      67%      -5.5%      -9.93
  704  Insider (other)     Healthcare                  $1M+     any        10      70%      -4.4%     -10.13
  705  Other/EVP           Consumer Defensive          $100K+   any        75      32%      -2.4%     -10.16
