==============================================================================================================
  UNCLASSIFIABLE INSIDER BACKTEST -- Filter Rankings by Confidence-Weighted Score
  Score = avg_alpha_180d * ln(n)  |  min n = 5  |  820 combinations ranked
  Source: output/unclassifiable_backtest.csv  |  Run: 2026-05-04
==============================================================================================================

  Baseline (all trades, no filter): n=2320  avg=+2.1%  hit=52%  score=16.18

 Rank  Role                Sector                      Size     DD          n   Hit180    Avg180a      Score
   78  all                 Healthcare                  $250K+   DD<2%      56      82%     +13.3%      53.56
   79  10% Owner           all                         $5M+     any        77      49%     +12.3%      53.42
   80  all                 all                         $100K+   DD<2%     906      63%      +7.8%      53.41
   81  all                 all                         $1M+     DD<2%     292      70%      +9.4%      53.24
   82  Director            all                         $250K+   DD<5%     507      68%      +8.5%      52.89
   83  CFO                 all                         $500K+   DD<2%      15      80%     +19.4%      52.50
   84  CEO                 Industrials                 $100K+   DD<5%      23      61%     +16.7%      52.33
   85  all                 Financial Services          $250K+   DD<2%      80      64%     +11.9%      52.00
   86  all                 Communication Services      $250K+   DD<5%      69      84%     +12.3%      51.97
   87  Other/EVP           Technology                  $100K+   DD<5%       7      71%     +26.7%      51.92
   88  all                 all                         $25M+    DD<2%      31      68%     +14.8%      50.96
   89  10% Owner           all                         $1M+     DD<2%      42      67%     +13.6%      50.88
   90  CFO                 all                         $500K+   DD<5%      21      76%     +16.6%      50.57
   91  all                 Consumer Cyclical           $500K+   DD<5%      51      65%     +12.8%      50.43
   92  10% Owner           all                         $500K+   DD<2%      45      67%     +13.2%      50.36
   93  Director            Technology                  $100K+   DD<5%      80      59%     +11.5%      50.33
   94  all                 all                         $500K+   DD<5%     664      65%      +7.7%      50.30
   95  all                 Technology                  $500K+   DD<5%      66      64%     +12.0%      50.23
   96  all                 all                         $250K+   DD<5%     970      64%      +7.3%      50.11
   97  CEO                 all                         $500K+   DD<5%     111      56%     +10.5%      49.26
   98  Director            Industrials                 $100K+   DD<2%      80      64%     +11.2%      49.25
   99  all                 Consumer Cyclical           $500K+   any       114      63%     +10.3%      48.99
  100  10% Owner           all                         $25M+    DD<5%       8      50%     +23.5%      48.94
  101  all                 Industrials                 $500K+   DD<5%     101      60%     +10.6%      48.69
  102  Director            Financial Services          $100K+   DD<2%      72      72%     +11.3%      48.38
  103  CEO                 Healthcare                  $500K+   DD<2%       6     100%     +26.9%      48.17
  104  CEO                 Industrials                 $500K+   DD<2%      12      58%     +19.3%      47.87
  105  CEO                 Industrials                 $1M+     DD<2%      12      58%     +19.3%      47.87
  106  10% Owner           Industrials                 $500K+   DD<5%      18      67%     +16.5%      47.69
  107  CEO                 Industrials                 $250K+   DD<2%      13      62%     +18.6%      47.66
  108  Director            all                         $1M+     DD<2%     123      80%      +9.9%      47.60
  109  Director            Financial Services          $250K+   DD<5%      61      66%     +11.4%      46.80
  110  all                 Technology                  $500K+   DD<2%      34      68%     +13.3%      46.75
  111  all                 Healthcare                  $100K+   DD<2%      88      69%     +10.4%      46.66
  112  10% Owner           all                         $100K+   DD<2%      52      65%     +11.8%      46.61
