id,ticker,insider_name,insider_cik,officer_title,role,transaction_date,transaction_code,transaction_direction,shares,price_per_share,total_value,accession_number,filed_date,price_entry,price_30d,price_90d,price_180d,return_30d,return_90d,return_180d,signal_correct_30d,signal_correct_90d,spy_return_90d,adjusted_return_90d
81b5eb26-f9d8-41e2-b0a6-2d00f177b318,FIX,MYERS FRANKLIN,0001207002,,Director,2015-03-04,P,buy,7500,18.65,139875,0001179110-15-004219,2015-03-04,18.649999618530273,20.299999237060547,22.850000381469727,27.719999313354492,8.85,22.52,48.63,true,true,0.54,21.98
8dd00f0a-2b20-4321-8e01-69d01bb54289,FIX,MYERS FRANKLIN,0001207002,,Director,2015-05-20,P,buy,5916,22.87,135298.92,0001179110-15-008294,2015-05-21,22.790000915527344,23.200000762939453,29.18000030517578,30.760000228881836,1.8,28.04,34.97,true,true,-1.36,29.4
0fdc7fd7-ea62-4062-a98a-22a8f66529ab,FIX,MYERS FRANKLIN,0001207002,,Director,2015-08-12,P,buy,4500,27.9,125550,0001179110-15-012011,2015-08-12,28.43000030517578,28.40999984741211,31.399999618530273,24.670000076293945,-0.07,10.45,-13.23,false,true,-0.17,10.62
f8c8a259-448b-4dbf-ba08-8bb8d692e56c,FIX,MYERS FRANKLIN,0001207002,,Director,2015-09-11,P,buy,4000,28.36,113440,0001179110-15-013252,2015-09-11,28.40999984741211,30.030000686645508,32.36000061035156,30.270000457763672,5.7,13.9,6.55,true,true,4.64,9.26
9bb841ba-714e-4e1c-bbc7-5b3a8557f08d,FIX,MYERS FRANKLIN,0001207002,,Director,2015-11-13,P,buy,4000,29.83,119320,0001179110-15-014925,2015-11-16,29.899999618530273,30.729999542236328,25.280000686645508,31.079999923706055,2.78,-15.45,3.95,true,false,-9.72,-5.73
80cdf03e-64ec-46f4-a4f6-7ec334222bb1,FIX,MYERS FRANKLIN,0001207002,,Director,2016-02-26,P,buy,4000,28.94,115760,0001179110-16-020359,2016-02-26,28.65999984741211,30.549999237060547,31.350000381469727,29.020000457763672,6.59,9.39,1.26,true,true,7.3,2.09
d1175279-0f87-43a2-8522-2ec2b1bc3879,FIX,MYERS FRANKLIN,0001207002,,Director,2016-04-29,P,buy,4200,29.3,123060,0001179110-16-023438,2016-04-29,29.489999771118164,32,31.920000076293945,27.25,8.51,8.24,-7.6,true,true,5.06,3.18
516c5ed7-02c9-4878-9e5a-023d9ec9d7cb,FIX,MYERS FRANKLIN,0001207002,,Director,2016-08-29,P,buy,4000,28.57,114280,0001179110-16-029091,2016-08-29,28.549999237060547,29.149999618530273,33,38.650001525878906,2.1,15.59,35.38,true,true,0.97,14.62
5eb54931-1157-4586-b8b4-3edc91c03c70,FIX,MYERS FRANKLIN,0001207002,,Director,2017-03-03,P,buy,3500,37.82,132370,0001179110-17-003819,2017-03-03,37.599998474121094,35.5,34.54999923706055,33.70000076293945,-5.59,-8.11,-10.37,false,false,2.07,-10.18
cdcbfb12-ddcc-42b5-bbdc-9dd444f46097,FIX,MYERS FRANKLIN,0001207002,,Director,2017-05-03,P,buy,4000,35.39,141560,0001179110-17-006475,2017-05-03,35.650001525878906,34.900001525878906,33.5,42.650001525878906,-2.1,-6.03,19.64,false,false,3.71,-9.74
daef95cf-cc6d-498c-ac58-d298987d9999,FIX,MYERS FRANKLIN,0001207002,,Director,2017-07-31,P,buy,5482,33.58,184085.56,0001179110-17-010820,2017-07-31,33.29999923706055,33.70000076293945,42.650001525878906,43.900001525878906,1.2,28.08,31.83,true,true,4.04,24.04
95ce3172-35ef-4e8b-92b6-759e54c2a0e8,FIX,MYERS FRANKLIN,0001207002,,Director,2017-11-14,P,buy,3000,40.23,120690,0001179110-17-014113,2017-11-14,40.25,42.54999923706055,40.5,44.75,5.71,0.62,11.18,true,true,2.95,-2.33
d77133c5-773e-4ae3-bdb5-d0539976b77f,FIX,MYERS FRANKLIN,0001207002,,Director,2018-02-27,P,buy,2500,41.87,104675,0001179110-18-002956,2018-02-27,41.349998474121094,41.25,46.400001525878906,56.599998474121094,-0.24,12.21,36.88,false,true,-1.97,14.18
4ca19cd2-2029-4e12-a4e5-5db8f5927739,FIX,MYERS FRANKLIN,0001207002,,Director,2018-03-07,P,buy,2500,41.85,104625,0001179110-18-003734,2018-03-07,42.5,40.5,48.5,56.20000076293945,-4.71,14.12,32.24,false,true,0.85,13.27
6a2719ad-2d78-4da6-a378-42128b861b6a,FIX,MYERS FRANKLIN,0001207002,,Director,2018-05-22,P,buy,3500,46.38,162330,0001179110-18-007406,2018-05-23,46,46.45000076293945,56.45000076293945,53.689998626708984,0.98,22.72,16.72,true,true,4.79,17.93
adc072f6-4f4b-4004-9f89-5521e9db6701,FIX,MYERS FRANKLIN,0001207002,,Director,2018-08-23,P,buy,3047,56.76,172947.72,0001179110-18-010842,2018-08-23,56.95000076293945,54.650001525878906,52.11000061035156,51.02000045776367,-4.04,-8.5,-10.41,false,false,-7.27,-1.23
ba188e3f-f72a-49b7-9f82-a2e93c304097,FIX,MYERS FRANKLIN,0001207002,,Director,2018-11-19,P,buy,2500,54.25,135625,0001179110-18-012993,2018-11-19,53.689998626708984,43.20000076293945,51.02000045776367,48.27000045776367,-19.54,-4.97,-10.09,false,false,3.25,-8.22
97415a01-1d6a-4f85-9b5d-e3d5bd7ffb39,FIX,MYERS FRANKLIN,0001207002,,Director,2018-12-07,P,buy,3500,46.55,162925,0001179110-18-013622,2018-12-10,46.52000045776367,45.34000015258789,52.02000045776367,49.060001373291016,-2.54,11.82,5.46,false,true,4.34,7.48
b1d9eab4-ab64-4280-83b4-da28e231cdc9,FIX,MYERS FRANKLIN,0001207002,,Director,2019-02-27,P,buy,4000,52.8371,211348.4,0001179110-19-002783,2019-02-28,53.59000015258789,52.38999938964844,48.97999954223633,37.04999923706055,-2.24,-8.6,-30.86,false,false,0.34,-8.94
0cdcea58-0eae-4394-8514-6a4ca2e0cb24,FIX,MYERS FRANKLIN,0001207002,,Director,2019-04-29,P,buy,4500,53.6123,241255.35,0001179110-19-005267,2019-04-30,52.58000183105469,48.650001525878906,40.470001220703125,50.790000915527344,-7.47,-23.03,-3.4,false,false,2.58,-25.61
eb70c7f1-2f40-4f42-912d-a96217264699,FIX,MYERS FRANKLIN,0001207002,,Director,2019-08-01,P,buy,5500,41.8909,230399.95,0001179110-19-008953,2019-08-01,40.939998626708984,37.59000015258789,50.9900016784668,49,-8.18,24.55,19.69,false,true,3.15,21.4
b6ffe5be-2260-40a9-98e1-a7319cf25397,FIX,MYERS FRANKLIN,0001207002,,Director,2019-09-06,P,buy,5000,38,190000,0001179110-19-010179,2019-09-09,37.97999954223633,42.630001068115234,49.349998474121094,44.25,12.24,29.94,16.51,true,true,4.69,25.25
df9d70cf-d031-4193-ac6e-0b8f056b4c2e,FIX,MYERS FRANKLIN,0001207002,,Director,2019-12-03,P,buy,5000,49.4856,247428,0001179110-19-012307,2019-12-04,49.5099983215332,49.220001220703125,43.16999816894531,38.04999923706055,-0.59,-12.81,-23.15,false,false,-0.15,-12.66
a34f129b-9ec4-4d8f-a91b-f83ff5fdb09f,FIX,MYERS FRANKLIN,0001207002,,Director,2019-12-10,P,buy,2500,48.755,121887.5,0001179110-19-012660,2019-12-11,48.88999938964844,48.369998931884766,39.31999969482422,42.7400016784668,-1.06,-19.57,-12.58,false,false,-12.53,-7.04
