===================================================================================================================
  OPPORTUNISTIC INSIDER BACKTEST — Filter Rankings by Confidence-Weighted Score
  Score = avg_alpha_180d × ln(n)  |  min n = 5  |  195 combinations ranked
  Source: output/deep_analysis_v2.csv  |  Clean rows: 330  |  Run: 2026-05-04
===================================================================================================================

  Baseline (all trades, no filter): n=313  avg=+4.1%  med=+6.2%  hit=73%  score=23.29

   Rank  Role                  Sector                      Size     DD        n   Hit180    Avg180α    Med180α     Score
     69  all                   all sectors                 $5M+     <2%       8      88%     +11.8%     +14.4%     24.44
     70  CFO                   all sectors                 $100K+   any       5      80%     +15.0%     +13.4%     24.20
     71  Director              Industrials                 $100K+   <5%      23      70%      +7.6%      +2.0%     23.84
     72  all                   Communication Services      $100K+   <2%       8     100%     +11.4%     +13.4%     23.78
     73  all                   Communication Services      $250K+   <2%       8     100%     +11.4%     +13.4%     23.78
     74  CEO                   Communication Services      $100K+   <2%       8     100%     +11.4%     +13.4%     23.78
     75  CEO                   Communication Services      $250K+   <2%       8     100%     +11.4%     +13.4%     23.78
     76  all                   all sectors                 $100K+   any     313      73%      +4.1%      +6.2%     23.29
     77  all                   all sectors                 $5M+     any      19      84%      +7.8%     +14.3%     23.06
     78  Director              Technology                  $250K+   any      16      88%      +8.1%      +5.5%     22.45
     79  Director              Industrials                 $100K+   any      35      66%      +6.3%      +2.0%     22.33
     80  all                   Communication Services      $500K+   <2%       6     100%     +12.3%     +14.4%     22.10
     81  all                   Communication Services      $1M+     <2%       6     100%     +12.3%     +14.4%     22.10
     82  CEO                   Communication Services      $500K+   <2%       6     100%     +12.3%     +14.4%     22.10
     83  CEO                   Communication Services      $1M+     <2%       6     100%     +12.3%     +14.4%     22.10
     84  CEO                   Healthcare                  $100K+   any       7      86%     +11.3%     +12.5%     21.94
     85  CEO                   Healthcare                  $250K+   any       7      86%     +11.3%     +12.5%     21.94
     86  all                   Financial Services          $5M+     any       7      71%     +11.2%     +17.7%     21.87
     87  Director              all sectors                 $250K+   any      62      82%      +5.3%      +6.5%     21.79
     88  all                   Technology                  $1M+     <2%       5     100%     +13.4%      +9.2%     21.61
     89  all                   Healthcare                  $100K+   <5%      23      74%      +6.9%      +6.9%     21.57
